weld force(bar),weld current(kA),weld Voltage(v),weld time(ms)
2.38,14.540000000000001,2.7089999999999996,71.0
2.38,14.549999999999999,2.702,71.0
2.38,14.549999999999999,2.702,72.0
2.37,14.58,2.7030000000000003,72.0
2.37,14.58,2.7030000000000003,72.0
2.3600000000000003,14.58,2.701,72.0
2.3600000000000003,14.58,2.701,72.0
2.37,14.610000000000001,2.698,72.0
2.37,14.610000000000001,2.698,72.0
2.3600000000000003,14.590000000000002,2.698,71.0
2.3600000000000003,14.590000000000002,2.698,71.0
2.37,14.58,2.701,71.0
2.37,14.58,2.701,71.0
2.38,14.590000000000002,2.701,71.0
2.38,14.590000000000002,2.701,72.0
2.38,14.53,2.705,73.0
2.38,14.53,2.705,71.0
2.3899999999999997,14.570000000000002,2.7039999999999997,72.0
2.3899999999999997,14.570000000000002,2.7039999999999997,71.0
2.38,14.570000000000002,2.7030000000000003,72.0
2.38,14.570000000000002,2.7030000000000003,73.0
2.38,14.56,2.696,71.0
2.38,14.56,2.696,72.0
2.3899999999999997,14.590000000000002,2.698,72.0
2.3899999999999997,14.590000000000002,2.698,72.0
2.37,14.58,2.7,72.0
2.37,14.58,2.7,72.0
2.38,14.540000000000001,2.705,72.0
2.38,14.540000000000001,2.705,72.0
2.38,14.540000000000001,2.7039999999999997,71.0
2.38,14.540000000000001,2.7039999999999997,71.0
2.3899999999999997,14.56,2.7089999999999996,72.0
2.3899999999999997,14.56,2.7089999999999996,71.0
2.38,14.520000000000001,2.707,73.0
2.38,14.520000000000001,2.707,72.0
2.37,14.590000000000002,2.7030000000000003,72.0
2.37,14.590000000000002,2.7030000000000003,72.0
2.38,14.570000000000002,2.699,72.2
2.38,14.570000000000002,2.699,72.2
2.37,14.590000000000002,2.696,72.18
2.37,14.590000000000002,2.696,72.18
2.37,14.570000000000002,2.697,72.16
2.37,14.570000000000002,2.697,72.16
2.37,14.58,2.698,72.24
2.37,14.58,2.698,72.24
2.3899999999999997,14.58,2.7089999999999996,72.24
2.3899999999999997,14.58,2.7089999999999996,72.24
2.38,14.549999999999999,2.7110000000000003,72.24
2.38,14.549999999999999,2.7110000000000003,72.24
2.38,14.56,2.708,72.24
2.38,14.56,2.708,72.24
2.38,14.590000000000002,2.7030000000000003,72.18
2.38,14.590000000000002,2.7030000000000003,72.18
2.3600000000000003,14.58,2.701,72.16
2.3600000000000003,14.58,2.701,72.16
2.38,14.570000000000002,2.697,72.18
2.38,14.570000000000002,2.697,72.18
2.3600000000000003,14.6,2.694,72.16
2.3600000000000003,14.6,2.694,72.16
2.3899999999999997,14.58,2.701,72.18
2.3899999999999997,14.58,2.701,72.18
2.38,14.570000000000002,2.7039999999999997,72.2
2.38,14.570000000000002,2.7039999999999997,72.2
2.3899999999999997,14.540000000000001,2.708,72.18
2.3899999999999997,14.540000000000001,2.708,72.0
2.38,14.6,2.707,72.0
2.38,14.6,2.707,71.0
2.3600000000000003,14.590000000000002,2.7030000000000003,72.0
2.3600000000000003,14.590000000000002,2.7030000000000003,72.0
2.3600000000000003,14.570000000000002,2.7,71.0
2.3600000000000003,14.570000000000002,2.7,72.0
2.37,14.590000000000002,2.7,70.0
2.37,14.590000000000002,2.7,71.0
2.3600000000000003,14.639999999999999,2.699,72.0
2.3600000000000003,14.639999999999999,2.699,72.0
2.38,14.590000000000002,2.701,72.0
2.38,14.590000000000002,2.701,73.0
2.38,14.570000000000002,2.7,71.0
2.38,14.570000000000002,2.7,71.0
2.37,14.56,2.7039999999999997,72.0
2.37,14.56,2.7039999999999997,72.0
2.37,14.58,2.7030000000000003,72.0
2.37,14.58,2.7030000000000003,72.0
2.38,14.570000000000002,2.702,72.0
2.38,14.570000000000002,2.702,72.0
2.37,14.6,2.699,72.0
2.37,14.6,2.699,71.0
2.3600000000000003,14.570000000000002,2.697,71.0
2.3600000000000003,14.570000000000002,2.697,71.0
2.3899999999999997,14.590000000000002,2.697,71.0
2.3899999999999997,14.590000000000002,2.697,71.0
2.38,14.590000000000002,2.7030000000000003,72.0
2.38,14.590000000000002,2.7030000000000003,73.0
2.3600000000000003,14.590000000000002,2.71,71.0
2.3600000000000003,14.590000000000002,2.71,72.0
2.38,14.590000000000002,2.7089999999999996,71.0
2.38,14.590000000000002,2.7089999999999996,72.0
2.38,14.549999999999999,2.705,73.0
2.38,14.549999999999999,2.705,71.0
2.38,14.6,2.7030000000000003,72.0
2.38,14.6,2.7030000000000003,72.0
2.3600000000000003,14.590000000000002,2.701,72.0
2.3600000000000003,14.590000000000002,2.701,71.0
